,CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,SG_UF_RESIDENCIA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
3108,3200904,Barra de São Francisco,ES,486.7009463722398,556.1601769911504,511.7427728613569,523.0727129337539,472.7433628318584
3109,3201001,Boa Esperança,ES,482.68590308370045,555.8055555555555,512.3119658119658,523.2215859030837,451.02564102564105
3110,3201100,Bom Jesus do Norte,ES,495.0582781456954,562.7573248407643,520.9675159235668,542.3225165562914,505.09554140127386
3111,3201159,Brejetuba,ES,490.9816993464052,560.1704142011835,512.3798816568047,536.3032679738561,505.32544378698225
3112,3201209,Cachoeiro de Itapemirim,ES,502.39834534294107,576.9040785113434,532.037496813663,552.3124366159594,544.9349987254652
3113,3201308,Cariacica,ES,491.6723690899848,570.1958491912465,526.096217887726,535.051220132181,492.99000951474784
3114,3201407,Castelo,ES,515.6941747572815,580.7214095744681,534.5973404255319,563.9066574202496,550.2393617021277
3115,3201506,Colatina,ES,508.71745715424476,583.8329703342096,537.6328952309425,558.8490633718613,545.4825384904243
3116,3201605,Conceição da Barra,ES,470.5506920415225,547.3670926517572,501.1490415335463,505.65865051903114,459.26517571884983
3117,3201704,Conceição do Castelo,ES,496.7649769585253,571.416371681416,514.8522123893806,539.7023041474654,498.76106194690266
3118,3201803,Divino de São Lourenço,ES,488.7164179104478,547.4558823529412,503.08382352941175,513.1910447761195,471.1764705882353
3119,3201902,Domingos Martins,ES,509.16416819012795,587.5215411558669,538.6052539404553,575.2882998171847,535.4115586690018
3120,3202009,Dores do Rio Preto,ES,475.5825,552.9474358974359,500.5076923076923,512.5237500000001,482.8205128205128
3121,3202108,Ecoporanga,ES,471.8608272506082,546.1771689497717,500.3753424657534,517.8832116788321,448.0821917808219
3122,3202207,Fundão,ES,496.8899425287357,570.5033519553073,526.5282122905028,545.096551724138,511.3966480446927
3123,3202256,Governador Lindenberg,ES,502.12207792207795,582.1182926829268,527.559756097561,562.5551948051948,548.780487804878
3124,3202306,Guaçuí,ES,508.1117296222664,580.0832061068702,530.9288167938931,545.6373757455268,513.1297709923664
3125,3202405,Guarapari,ES,503.3857079449623,579.693931837074,535.7614713216958,550.4287172658677,528.2709891936825
3126,3202454,Ibatiba,ES,518.6430939226519,587.7032085561498,535.1922459893048,563.1317679558011,522.2459893048128
3127,3202504,Ibiraçu,ES,503.54766355140185,578.3545045045045,525.8108108108108,545.127570093458,500.0900900900901
